web-scraper-order,web-scraper-start-url,pagi,position,salary,loc,company,detail,info,comp_tag,experience
"1672259519-6841","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","【急招】数据分析师","16-26K·15薪","上海·闵行区·虹梅路","北京字节跳动","SQLPython数据分析/挖掘经验","生日福利，团建聚餐，餐补，零食下午茶，节假日加班费，五险一金，夜班补助，带薪年假，股票期权，节日福利，年终奖，补充医疗保险，住房补贴，加班补助，交通补助，有无线网，法定节假日三薪，定期体检，意外险，绩效奖金","移动互联网","在校/应届"
"1672259519-6842","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","【急招】数据分析师","16-26K·15薪","上海·闵行区·虹梅路","北京字节跳动","SQLPython数据分析/挖掘经验","生日福利，团建聚餐，餐补，零食下午茶，节假日加班费，五险一金，夜班补助，带薪年假，股票期权，节日福利，年终奖，补充医疗保险，住房补贴，加班补助，交通补助，有无线网，法定节假日三薪，定期体检，意外险，绩效奖金","D轮及以上","在校/应届"
"1672259519-6843","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","【急招】数据分析师","16-26K·15薪","上海·闵行区·虹梅路","北京字节跳动","SQLPython数据分析/挖掘经验","生日福利，团建聚餐，餐补，零食下午茶，节假日加班费，五险一金，夜班补助，带薪年假，股票期权，节日福利，年终奖，补充医疗保险，住房补贴，加班补助，交通补助，有无线网，法定节假日三薪，定期体检，意外险，绩效奖金","10000人以上","在校/应届"
"1672259519-6844","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析师—上海","15-30K·14薪","上海·徐汇区·漕河泾","北京字节跳动","SQLPython数学/统计相关专业计算机相关专业数据分析/挖掘经验","节假日加班费，股票期权，节日福利，定期体检，团建聚餐，年终奖，夜班补助，补充医疗保险，餐补，意外险，交通补助，有无线网，住房补贴，加班补助，法定节假日三薪，生日福利，零食下午茶，五险一金，带薪年假，绩效奖金","移动互联网","经验不限"
"1672259519-6845","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析师—上海","15-30K·14薪","上海·徐汇区·漕河泾","北京字节跳动","SQLPython数学/统计相关专业计算机相关专业数据分析/挖掘经验","节假日加班费，股票期权，节日福利，定期体检，团建聚餐，年终奖，夜班补助，补充医疗保险，餐补，意外险，交通补助，有无线网，住房补贴，加班补助，法定节假日三薪，生日福利，零食下午茶，五险一金，带薪年假，绩效奖金","D轮及以上","经验不限"
"1672259519-6846","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析师—上海","15-30K·14薪","上海·徐汇区·漕河泾","北京字节跳动","SQLPython数学/统计相关专业计算机相关专业数据分析/挖掘经验","节假日加班费，股票期权，节日福利，定期体检，团建聚餐，年终奖，夜班补助，补充医疗保险，餐补，意外险，交通补助，有无线网，住房补贴，加班补助，法定节假日三薪，生日福利，零食下午茶，五险一金，带薪年假，绩效奖金","10000人以上","经验不限"
"1672259519-6847","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析师（文本数据建模）","8-13K","上海·浦东新区·张江","浩宜科技","人工智能互联网金融","五险一金，带薪年假，节日福利，意外险，绩效奖金，生日福利，定期体检，年终奖，工龄奖，员工旅游，团建聚餐，积分落户","计算机软件","经验不限"
"1672259519-6848","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析师（文本数据建模）","8-13K","上海·浦东新区·张江","浩宜科技","人工智能互联网金融","五险一金，带薪年假，节日福利，意外险，绩效奖金，生日福利，定期体检，年终奖，工龄奖，员工旅游，团建聚餐，积分落户","未融资","经验不限"
"1672259519-6849","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析师（文本数据建模）","8-13K","上海·浦东新区·张江","浩宜科技","人工智能互联网金融","五险一金，带薪年假，节日福利，意外险，绩效奖金，生日福利，定期体检，年终奖，工龄奖，员工旅游，团建聚餐，积分落户","100-499人","经验不限"
"1672259519-6850","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","BA-数据分析（SAP顾问愿意转BA）-甲方","16-30K","上海","某知名批发公司","SAPOracle EBS/Fusion数据分析SD MM FICO PP","包吃，加班补助，通讯补贴，节日福利，五险一金","批发/零售","经验不限"
"1672259519-6851","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","BA-数据分析（SAP顾问愿意转BA）-甲方","16-30K","上海","某知名批发公司","SAPOracle EBS/Fusion数据分析SD MM FICO PP","包吃，加班补助，通讯补贴，节日福利，五险一金","不需要融资","经验不限"
"1672259519-6852","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","BA-数据分析（SAP顾问愿意转BA）-甲方","16-30K","上海","某知名批发公司","SAPOracle EBS/Fusion数据分析SD MM FICO PP","包吃，加班补助，通讯补贴，节日福利，五险一金","1000-9999人","经验不限"
"1672259519-6853","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","【未来创智者】数据分析师/技术类管培生","15-20K·14薪","上海·嘉定区·江桥","华住酒店集团","PythonMATLABR","五险一金，加班补助，节日福利，员工旅游，年终奖，带薪年假，定期体检","旅游","在校/应届"
"1672259519-6854","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","【未来创智者】数据分析师/技术类管培生","15-20K·14薪","上海·嘉定区·江桥","华住酒店集团","PythonMATLABR","五险一金，加班补助，节日福利，员工旅游，年终奖，带薪年假，定期体检","未融资","在校/应届"
"1672259519-6855","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","【未来创智者】数据分析师/技术类管培生","15-20K·14薪","上海·嘉定区·江桥","华住酒店集团","PythonMATLABR","五险一金，加班补助，节日福利，员工旅游，年终奖，带薪年假，定期体检","10000人以上","在校/应届"
"1672259519-6856","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","Business Analyst/ 商业分析师","18-29K·13薪","上海","久谦咨询","咨询顾问企业管理咨询","节日福利，交通补助，补充医疗保险，五险一金，零食下午茶，带薪年假，定期体检，年终奖，员工旅游","咨询","在校/应届"
"1672259519-6857","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","Business Analyst/ 商业分析师","18-29K·13薪","上海","久谦咨询","咨询顾问企业管理咨询","节日福利，交通补助，补充医疗保险，五险一金，零食下午茶，带薪年假，定期体检，年终奖，员工旅游","不需要融资","在校/应届"
