web-scraper-order,web-scraper-start-url,pagi,Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
"1655991395-201","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community First Bank Chicago","Chicago","IL","57948","Northbrook Bank & Trust Company","February 4, 2011","10337"
"1655991395-446","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Integrity Bank","Jupiter","FL","57604","Stonegate Bank","July 31, 2009","10095"
"1655991395-487","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Great Basin Bank of Nevada","Elko","NV","33824","Nevada State Bank","April 17, 2009","10051"
"1655991395-338","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Appalachian Community Bank","Ellijay","GA","33989","Community & Southern Bank","March 19, 2010","10199"
"1655991395-231","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Western Commercial Bank","Woodland Hills","CA","58087","First California Bank","November 5, 2010","10310"
"1655991395-172","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Summit Bank","Burlington","WA","513","Columbia State Bank","May 20, 2011","10367"
"1655991395-115","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Charter National Bank and Trust","Hoffman Estates","IL","23187","Barrington Bank & Trust Company, National Association","February 10, 2012","10424"
"1655991395-426","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","InBank","Oak Forest","IL","20203","MB Financial Bank, N.A.","September 4, 2009","10113"
"1655991395-28","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Highland Community Bank","Chicago","IL","20290","United Fidelity Bank, fsb","January 23, 2015","10511"
"1655991395-519","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Franklin Bank, SSB","Houston","TX","26870","Prosperity Bank","November 7, 2008","10021"
"1655991395-508","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","MagnetBank","Salt Lake City","UT","58001","No Acquirer","January 30, 2009","10031"
"1655991395-556","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Sierra Blanca","Sierra Blanca","TX","22002","The Security State Bank of Pecos","January 18, 2002","4651"
"1655991395-83","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Waukegan Savings Bank","Waukegan","IL","28243","First Midwest Bank","August 3, 2012","10456"
"1655991395-316","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Peotone Bank and Trust Company","Peotone","IL","10888","First Midwest Bank","April 23, 2010","10223"
"1655991395-560","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Malta National Bank","Malta","OH","6629","North Valley Bank","May 3, 2001","4648"
"1655991395-326","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Riverside National Bank of Florida","Fort Pierce","FL","24067","TD Bank, N.A.","April 16, 2010","10216"
"1655991395-360","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Marshall Bank, N.A.","Hallock","MN","16133","United Valley Bank","January 29, 2010","10182"
"1655991395-442","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First State Bank","Sarasota","FL","27364","Stearns Bank, N.A.","August 7, 2009","10098"
"1655991395-293","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank","Rosedale","MS","15814","The Jefferson Bank","June 4, 2010","10247"
"1655991395-482","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Silverton Bank, NA","Atlanta","GA","26535","No Acquirer","May 1, 2009","10059"
"1655991395-462","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank of Danville","Danville","IL","3644","First Financial Bank, N.A.","July 2, 2009","10078"
"1655991395-351","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Carson River Community Bank","Carson City","NV","58352","Heritage Bank of Nevada","February 26, 2010","10188"
"1655991395-74","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Citizens First National Bank","Princeton","IL","3731","Heartland Bank and Trust Company","November 2, 2012","10464"
"1655991395-209","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Bank of Asheville","Asheville","NC","34516","First Bank","January 21, 2011","10330"
"1655991395-371","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Horizon Bank","Bellingham","WA","22977","Washington Federal Savings and Loan Association","January 8, 2010","10168"
"1655991395-17","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Allied Bank","Mulberry","AR","91","Today's Bank","September 23, 2016","10522"
"1655991395-30","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Northern Star Bank","Mankato","MN","34983","BankVista","December 19, 2014","10509"
"1655991395-141","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First International Bank","Plano","TX","33513","American First National Bank","September 30, 2011","10398"
"1655991395-197","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Canyon National Bank","Palm Springs","CA","34692","Pacific Premier Bank","February 11, 2011","10340"
"1655991395-411","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","American United Bank","Lawrenceville","GA","57794","Ameris Bank","October 23, 2009","10127"
"1655991395-6","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Resolute Bank","Maumee","OH","58317","Buckeye State Bank","October 25, 2019","10533"
"1655991395-198","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Badger State Bank","Cassville","WI","13272","Royal Bank","February 11, 2011","10339"
"1655991395-306","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Access Bank","Champlin","MN","16476","PrinsBank","May 7, 2010","10233"
"1655991395-124","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Premier Community Bank of the Emerald Coast","Crestview","FL","58343","Summit Bank","December 16, 2011","10415"
"1655991395-472","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank of Anthony","Anthony","KS","4614","Bank of Kansas","June 19, 2009","10066"
"1655991395-402","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","California National Bank","Los Angeles","CA","34659","U.S. Bank N.A.","October 30, 2009","10134"
"1655991395-296","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Florida - Tampa","Tampa","FL","57814","EverBank","May 28, 2010","10243"
"1655991395-398","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Madisonville State Bank","Madisonville","TX","33782","U.S. Bank N.A.","October 30, 2009","10142"
"1655991395-31","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Frontier Bank, FSB D/B/A El Paseo Bank","Palm Desert","CA","34738","Bank of Southern California, N.A.","November 7, 2014","10508"
"1655991395-498","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Silver Falls Bank","Silverton","OR","35399","Citizens Bank","February 20, 2009","10041"
"1655991395-383","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Benchmark Bank","Aurora","IL","10440","MB Financial Bank, N.A.","December 4, 2009","10154"
"1655991395-394","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Prosperan Bank","Oakdale","MN","35074","Alerus Financial, N.A.","November 6, 2009","10143"
"1655991395-67","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Gold Canyon Bank","Gold Canyon","AZ","58066","First Scottsdale Bank, National Association","April 5, 2013","10472"
"1655991395-524","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB)","Henderson","NV","32633","JP Morgan Chase Bank","September 25, 2008","10015"
"1655991395-497","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Heritage Community Bank","Glenwood","IL","20078","MB Financial Bank, N.A.","February 27, 2009","10042"
"1655991395-240","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Premier Bank","Jefferson City","MO","34016","Providence Bank","October 15, 2010","10297"
"1655991395-343","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Old Southern Bank","Orlando","FL","58182","Centennial Bank","March 12, 2010","10197"
"1655991395-283","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","USA Bank","Port Chester","NY","58072","New Century Bank","July 9, 2010","10254"
"1655991395-144","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The First National Bank of Florida","Milton","FL","25155","CharterBank","September 9, 2011","10395"
"1655991395-562","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","National State Bank of Metropolis","Metropolis","IL","3815","Banterra Bank of Marion","December 14, 2000","4646"
"1655991395-272","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Thunder Bank","Sylvan Grove","KS","10506","The Bennington State Bank","July 23, 2010","10269"
"1655991395-335","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","State Bank of Aurora","Aurora","MN","8221","Northern State Bank","March 19, 2010","10203"
"1655991395-43","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Vantage Point Bank","Horsham","PA","58531","First Choice Bank","February 28, 2014","10496"
"1655991395-354","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The La Coste National Bank","La Coste","TX","3287","Community National Bank","February 19, 2010","10186"
"1655991395-355","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Marco Community Bank","Marco Island","FL","57586","Mutual of Omaha Bank","February 19, 2010","10187"
"1655991395-128","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","SunFirst Bank","Saint George","UT","57087","Cache Valley Bank","November 4, 2011","10411"
"1655991395-289","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Nevada Security Bank","Reno","NV","57110","Umpqua Bank","June 18, 2010","10250"
"1655991395-106","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Fort Lee Federal Savings Bank, FSB","Fort Lee","NJ","35527","Alma Bank","April 20, 2012","10433"
"1655991395-305","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Towne Bank of Arizona","Mesa","AZ","57697","Commerce Bank of Arizona","May 7, 2010","10235"
"1655991395-307","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Bank of Bonifay","Bonifay","FL","14246","First Federal Bank of Florida","May 7, 2010","10234"
