Date,New Cases,Total Cases,Recovered,Deaths,Active Cases,Year,Month,Day
06/03/2020,1,1,0,0,1,2020,6,3
07/03/2020,2,3,0,0,3,2020,7,3
08/03/2020,0,3,0,0,3,2020,8,3
09/03/2020,1,4,0,0,4,2020,9,3
10/03/2020,1,5,0,0,5,2020,10,3
11/03/2020,2,7,0,0,7,2020,11,3
12/03/2020,5,12,0,0,12,2020,12,3
13/03/2020,1,13,1,0,12,2020,3,13
14/03/2020,5,18,1,0,17,2020,3,14
15/03/2020,3,21,2,0,19,2020,3,15
16/03/2020,9,30,2,0,28,2020,3,16
17/03/2020,8,38,2,0,36,2020,3,17
18/03/2020,10,48,2,0,46,2020,3,18
19/03/2020,5,53,2,0,51,2020,3,19
20/03/2020,11,64,2,0,62,2020,3,20
21/03/2020,9,73,2,0,71,2020,3,21
22/03/2020,17,90,2,0,88,2020,3,22
23/03/2020,17,107,2,0,105,2020,3,23
24/03/2020,3,110,2,0,108,2020,3,24
25/03/2020,19,129,2,0,127,2020,3,25
26/03/2020,5,134,2,0,132,2020,3,26
27/03/2020,5,139,2,0,137,2020,3,27
28/03/2020,10,149,2,0,147,2020,3,28
29/03/2020,2,151,2,0,149,2020,3,29
30/03/2020,5,156,2,0,154,2020,3,30
31/03/2020,13,169,2,0,167,2020,3,31
01/04/2020,19,188,2,0,186,2020,1,4
02/04/2020,7,195,2,0,193,2020,2,4
03/04/2020,7,202,2,0,200,2020,3,4
04/04/2020,11,213,2,0,211,2020,4,4
05/04/2020,14,227,5,0,222,2020,5,4
06/04/2020,14,241,5,0,236,2020,6,4
07/04/2020,52,293,5,0,288,2020,7,4
08/04/2020,6,299,16,1,282,2020,8,4
09/04/2020,38,337,16,2,319,2020,9,4
10/04/2020,13,350,16,2,332,2020,10,4
11/04/2020,20,370,16,3,351,2020,11,4
12/04/2020,8,378,44,3,331,2020,12,4
13/04/2020,6,384,44,3,337,2020,4,13
14/04/2020,9,393,44,3,346,2020,4,14
15/04/2020,6,399,44,3,352,2020,4,15
16/04/2020,13,412,82,3,327,2020,4,16
17/04/2020,10,422,91,3,328,2020,4,17
18/04/2020,4,426,99,3,324,2020,4,18
19/04/2020,1,427,118,3,306,2020,4,19
20/04/2020,4,431,126,3,302,2020,4,20
21/04/2020,12,443,150,3,290,2020,4,21
22/04/2020,1,444,165,3,276,2020,4,22
23/04/2020,1,445,204,3,238,2020,4,23
24/04/2020,2,447,223,3,221,2020,4,24
25/04/2020,1,448,249,4,195,2020,4,25
26/04/2020,0,448,282,4,162,2020,4,26
27/04/2020,2,450,286,4,160,2020,4,27
28/04/2020,8,458,303,4,151,2020,4,28
29/04/2020,5,463,339,4,120,2020,4,29
30/04/2020,2,465,351,4,110,2020,4,30
01/05/2020,2,467,367,4,96,2020,1,5
02/05/2020,1,468,379,4,85,2020,2,5
03/05/2020,9,477,392,4,81,2020,3,5
04/05/2020,3,480,399,4,77,2020,4,5
05/05/2020,2,482,403,5,74,2020,5,5
06/05/2020,2,484,407,5,72,2020,6,5
07/05/2020,2,486,413,5,68,2020,7,5
08/05/2020,3,489,419,5,65,2020,8,5
09/05/2020,1,490,427,5,58,2020,9,5
10/05/2020,6,496,433,5,58,2020,10,5
11/05/2020,7,503,434,5,64,2020,11,5
12/05/2020,3,506,434,5,67,2020,12,5
13/05/2020,2,508,436,6,66,2020,5,13
14/05/2020,14,522,443,6,73,2020,5,14
15/05/2020,10,532,448,6,78,2020,5,15
16/05/2020,14,546,450,6,90,2020,5,16
17/05/2020,7,553,454,6,93,2020,5,17
18/05/2020,5,558,456,6,96,2020,5,18
19/05/2020,11,569,460,6,103,2020,5,19
20/05/2020,15,584,465,6,113,2020,5,20
21/05/2020,15,599,468,6,125,2020,5,21
22/05/2020,1,600,469,6,125,2020,5,22
23/05/2020,9,609,473,6,130,2020,5,23
24/05/2020,1,610,476,6,128,2020,5,24
25/05/2020,1,611,485,6,120,2020,5,25
26/05/2020,0,611,485,6,120,2020,5,26
27/05/2020,1,612,491,7,114,2020,5,27
28/05/2020,4,616,501,7,108,2020,5,28
29/05/2020,0,616,514,8,94,2020,5,29
30/05/2020,2,618,525,9,84,2020,5,30
31/05/2020,0,618,534,9,75,2020,5,31
01/06/2020,1,619,537,9,73,2020,1,6
02/06/2020,1,620,554,9,57,2020,2,6
03/06/2020,2,622,562,9,51,2020,3,6
04/06/2020,0,622,574,9,37,2020,4,6
05/06/2020,3,625,583,9,33,2020,5,6
06/06/2020,2,627,596,9,22,2020,6,6
07/06/2020,2,629,596,9,24,2020,7,6
08/06/2020,1,630,596,9,25,2020,8,6
09/06/2020,2,632,597,9,26,2020,9,6
10/06/2020,3,635,597,9,29,2020,10,6
11/06/2020,5,640,600,9,31,2020,11,6
12/06/2020,5,645,600,9,36,2020,12,6
13/06/2020,1,646,601,9,36,2020,6,13
14/06/2020,3,649,603,9,37,2020,6,14
15/06/2020,1,650,603,9,38,2020,6,15
16/06/2020,6,656,608,9,39,2020,6,16
17/06/2020,6,662,610,9,43,2020,6,17
18/06/2020,1,663,610,9,44,2020,6,18
19/06/2020,0,663,613,9,41,2020,6,19
20/06/2020,1,664,616,9,39,2020,6,20
21/06/2020,1,665,616,9,40,2020,6,21
22/06/2020,0,665,617,9,39,2020,6,22
23/06/2020,0,665,618,9,38,2020,6,23
24/06/2020,0,665,624,9,32,2020,6,24
25/06/2020,3,668,627,9,32,2020,6,25
26/06/2020,2,670,632,9,29,2020,6,26
27/06/2020,0,670,635,9,26,2020,6,27
28/06/2020,0,670,636,9,25,2020,6,28
29/06/2020,0,670,639,9,22,2020,6,29
30/06/2020,0,670,640,9,21,2020,6,30
01/07/2020,1,671,647,9,15,2020,1,7
02/07/2020,0,671,649,9,13,2020,2,7
03/07/2020,1,672,650,9,13,2020,3,7
04/07/2020,0,672,651,9,12,2020,4,7
05/07/2020,0,672,652,9,11,2020,5,7
06/07/2020,0,672,652,9,11,2020,6,7
07/07/2020,1,673,653,9,11,2020,7,7
08/07/2020,0,673,654,9,10,2020,8,7
09/07/2020,1,674,656,9,9,2020,9,7
10/07/2020,0,674,658,9,7,2020,10,7
11/07/2020,0,674,658,9,7,2020,11,7
12/07/2020,0,674,660,9,5,2020,12,7
13/07/2020,0,674,660,9,5,2020,7,13
14/07/2020,0,674,660,9,5,2020,7,14
15/07/2020,0,674,661,9,4,2020,7,15
16/07/2020,0,674,661,9,4,2020,7,16
17/07/2020,0,674,662,9,3,2020,7,17
18/07/2020,1,675,662,9,4,2020,7,18
19/07/2020,1,676,662,9,5,2020,7,19
20/07/2020,1,677,664,9,4,2020,7,20
21/07/2020,0,677,664,9,4,2020,7,21
22/07/2020,2,679,665,9,5,2020,7,22
23/07/2020,1,680,665,9,6,2020,7,23
24/07/2020,6,686,665,9,12,2020,7,24
25/07/2020,0,686,665,9,12,2020,7,25
26/07/2020,14,700,665,9,26,2020,7,26
27/07/2020,1,701,665,9,27,2020,7,27
28/07/2020,7,708,665,9,34,2020,7,28
29/07/2020,12,720,665,9,46,2020,7,29
30/07/2020,94,814,665,9,140,2020,7,30
31/07/2020,10,824,665,9,150,2020,7,31
01/08/2020,21,845,665,9,171,2020,1,8
02/08/2020,15,860,666,9,185,2020,2,8
03/08/2020,14,874,666,9,199,2020,3,8
04/08/2020,16,890,668,9,213,2020,4,8
05/08/2020,36,926,668,9,249,2020,5,8
06/08/2020,20,946,670,9,267,2020,6,8
07/08/2020,49,995,675,9,311,2020,7,8
08/08/2020,40,1035,675,9,351,2020,8,8
09/08/2020,54,1089,684,9,396,2020,9,8
